metric,level,config_a,config_b,estimate,ci_lower,ci_upper,method
Recall@5,individual,C1,,0.5518,0.5087,0.5942,Bootstrap (n=2000)
Recall@5,individual,C2,,0.6163,0.576,0.657,Bootstrap (n=2000)
Recall@5,individual,C3,,0.51,0.4693,0.551,Bootstrap (n=2000)
Recall@5,individual,C4,,0.6137,0.572,0.6553,Bootstrap (n=2000)
Recall@5,pairwise,C1,C2,-0.0645,-0.0985,-0.032,Paired bootstrap (n=2000)
Recall@5,pairwise,C3,C4,-0.1037,-0.1377,-0.0697,Paired bootstrap (n=2000)
Recall@5,pairwise,C1,C3,0.0418,0.0078,0.0753,Paired bootstrap (n=2000)
Recall@5,pairwise,C2,C4,0.0027,-0.0133,0.0187,Paired bootstrap (n=2000)
Recall@5,pairwise,C1,C4,-0.0618,-0.0967,-0.027,Paired bootstrap (n=2000)
Recall@5,pairwise,C2,C3,0.1063,0.072,0.1393,Paired bootstrap (n=2000)
MRR@5,individual,C1,,0.4437,0.4051,0.484,Bootstrap (n=2000)
MRR@5,individual,C2,,0.5187,0.4789,0.5576,Bootstrap (n=2000)
MRR@5,individual,C3,,0.4063,0.3682,0.4463,Bootstrap (n=2000)
MRR@5,individual,C4,,0.5154,0.4755,0.554,Bootstrap (n=2000)
MRR@5,pairwise,C1,C2,-0.075,-0.1075,-0.0418,Paired bootstrap (n=2000)
MRR@5,pairwise,C3,C4,-0.109,-0.1423,-0.0747,Paired bootstrap (n=2000)
MRR@5,pairwise,C1,C3,0.0373,0.0068,0.0669,Paired bootstrap (n=2000)
MRR@5,pairwise,C2,C4,0.0033,-0.0054,0.0114,Paired bootstrap (n=2000)
MRR@5,pairwise,C1,C4,-0.0717,-0.105,-0.0383,Paired bootstrap (n=2000)
MRR@5,pairwise,C2,C3,0.1123,0.0791,0.1443,Paired bootstrap (n=2000)
NDCG@5,individual,C1,,0.453,0.4162,0.4909,Bootstrap (n=2000)
NDCG@5,individual,C2,,0.5281,0.4894,0.5655,Bootstrap (n=2000)
NDCG@5,individual,C3,,0.4151,0.3799,0.4522,Bootstrap (n=2000)
NDCG@5,individual,C4,,0.5259,0.4874,0.5628,Bootstrap (n=2000)
NDCG@5,pairwise,C1,C2,-0.075,-0.1049,-0.0454,Paired bootstrap (n=2000)
NDCG@5,pairwise,C3,C4,-0.1108,-0.1406,-0.0802,Paired bootstrap (n=2000)
NDCG@5,pairwise,C1,C3,0.0379,0.0108,0.0651,Paired bootstrap (n=2000)
NDCG@5,pairwise,C2,C4,0.0022,-0.0072,0.0112,Paired bootstrap (n=2000)
NDCG@5,pairwise,C1,C4,-0.0729,-0.103,-0.0417,Paired bootstrap (n=2000)
NDCG@5,pairwise,C2,C3,0.113,0.0834,0.1427,Paired bootstrap (n=2000)
F1,individual,C1,,0.2736,0.2397,0.3102,Bootstrap (n=2000)
F1,individual,C2,,0.2766,0.2442,0.3111,Bootstrap (n=2000)
F1,individual,C3,,0.247,0.2156,0.2795,Bootstrap (n=2000)
F1,individual,C4,,0.2785,0.244,0.3139,Bootstrap (n=2000)
F1,pairwise,C1,C2,-0.003,-0.0307,0.0244,Paired bootstrap (n=2000)
F1,pairwise,C3,C4,-0.0314,-0.0583,-0.004,Paired bootstrap (n=2000)
F1,pairwise,C1,C3,0.0266,-0.0021,0.0555,Paired bootstrap (n=2000)
F1,pairwise,C2,C4,-0.0018,-0.0207,0.0168,Paired bootstrap (n=2000)
F1,pairwise,C1,C4,-0.0048,-0.0329,0.0238,Paired bootstrap (n=2000)
F1,pairwise,C2,C3,0.0296,0.0026,0.0565,Paired bootstrap (n=2000)
Faithfulness,individual,C1,,0.8854,0.8168,0.9443,Bootstrap (n=2000)
Faithfulness,individual,C2,,0.8368,0.7644,0.9012,Bootstrap (n=2000)
Faithfulness,individual,C3,,0.828,0.7459,0.9036,Bootstrap (n=2000)
Faithfulness,individual,C4,,0.8291,0.7494,0.9049,Bootstrap (n=2000)
Faithfulness,pairwise,C1,C2,0.0234,-0.0732,0.1167,Paired bootstrap (n=2000)
Faithfulness,pairwise,C3,C4,-0.0368,-0.1591,0.0767,Paired bootstrap (n=2000)
Faithfulness,pairwise,C1,C3,0.036,-0.0777,0.1548,Paired bootstrap (n=2000)
Faithfulness,pairwise,C2,C4,0.0064,-0.0519,0.0698,Paired bootstrap (n=2000)
Faithfulness,pairwise,C1,C4,0.0269,-0.0729,0.1274,Paired bootstrap (n=2000)
Faithfulness,pairwise,C2,C3,0.0468,-0.0706,0.1561,Paired bootstrap (n=2000)
EM,individual,C1,,0.1392,0.1086,0.1769,Wilson score
EM,individual,C2,,0.1241,0.0951,0.1602,Wilson score
EM,individual,C3,,0.1063,0.0796,0.1406,Wilson score
EM,individual,C4,,0.1266,0.0973,0.163,Wilson score
EM,pairwise,C1,C2,0.0152,-0.0133,0.0442,Wilson score (Newcombe paired diff)
EM,pairwise,C3,C4,-0.0203,-0.0469,0.0054,Wilson score (Newcombe paired diff)
EM,pairwise,C1,C3,0.0329,0.0036,0.0634,Wilson score (Newcombe paired diff)
EM,pairwise,C2,C4,-0.0025,-0.0218,0.0166,Wilson score (Newcombe paired diff)
EM,pairwise,C1,C4,0.0127,-0.0155,0.0412,Wilson score (Newcombe paired diff)
EM,pairwise,C2,C3,0.0177,-0.0094,0.0457,Wilson score (Newcombe paired diff)
Refusal,individual,C1,,0.422,0.3795,0.4657,Wilson score
Refusal,individual,C2,,0.386,0.3444,0.4294,Wilson score
Refusal,individual,C3,,0.476,0.4326,0.5198,Wilson score
Refusal,individual,C4,,0.392,0.3502,0.4355,Wilson score
Refusal,pairwise,C1,C2,0.036,-0.0002,0.072,Wilson score (Newcombe paired diff)
Refusal,pairwise,C3,C4,0.084,0.0454,0.1221,Wilson score (Newcombe paired diff)
Refusal,pairwise,C1,C3,-0.054,-0.0912,-0.0165,Wilson score (Newcombe paired diff)
Refusal,pairwise,C2,C4,-0.006,-0.0328,0.0208,Wilson score (Newcombe paired diff)
Refusal,pairwise,C1,C4,0.03,-0.0077,0.0675,Wilson score (Newcombe paired diff)
Refusal,pairwise,C2,C3,-0.09,-0.1282,-0.0513,Wilson score (Newcombe paired diff)
