query_id,config,is_refusal,em,f1
test2,config1_dense,0,0,0.8235
test8,config1_dense,0,1,1.0
test13,config1_dense,0,1,1.0
test14,config1_dense,0,1,1.0
test26,config1_dense,0,0,0.3377
test29,config1_dense,1,,
test32,config1_dense,0,0,0.1667
test38,config1_dense,1,0,0.0
test39,config1_dense,0,0,0.1538
test47,config1_dense,0,0,0.1194
test60,config1_dense,0,0,0.1739
test79,config1_dense,0,0,0.16
test86,config1_dense,0,0,0.2222
test102,config1_dense,1,0,0.0
test108,config1_dense,1,0,0.0
test122,config1_dense,0,1,1.0
test128,config1_dense,0,,
test130,config1_dense,0,0,0.6667
test131,config1_dense,1,0,0.0
test147,config1_dense,0,0,0.1905
test162,config1_dense,1,0,0.0
test163,config1_dense,1,0,0.0
test171,config1_dense,0,0,0.6154
test177,config1_dense,1,0,0.0
test180,config1_dense,0,0,0.1818
test187,config1_dense,1,0,0.0
test192,config1_dense,0,,
test205,config1_dense,0,0,0.16
test207,config1_dense,0,0,0.5882
test208,config1_dense,0,1,1.0
test221,config1_dense,0,0,0.4848
test229,config1_dense,1,0,0.0
test232,config1_dense,0,0,0.375
test234,config1_dense,1,,
test237,config1_dense,0,,
test239,config1_dense,0,0,0.0
test240,config1_dense,1,,
test241,config1_dense,0,,
test248,config1_dense,0,1,1.0
test249,config1_dense,0,0,0.0
test260,config1_dense,1,0,0.0
test262,config1_dense,1,,
test271,config1_dense,0,0,0.6667
test276,config1_dense,0,0,0.375
test278,config1_dense,0,0,0.5778
test280,config1_dense,0,1,1.0
test281,config1_dense,0,0,0.087
test283,config1_dense,0,0,0.1429
test284,config1_dense,0,,
test290,config1_dense,0,,
test292,config1_dense,1,0,0.0
test297,config1_dense,1,0,0.0
test300,config1_dense,0,0,0.0
test308,config1_dense,0,1,1.0
test322,config1_dense,0,,
test326,config1_dense,0,0,0.9048
test328,config1_dense,1,0,0.0
test335,config1_dense,0,0,0.2105
test350,config1_dense,0,,
test356,config1_dense,1,,
test372,config1_dense,0,0,0.4615
test378,config1_dense,0,0,0.359
test379,config1_dense,1,,
test382,config1_dense,0,,
test383,config1_dense,0,0,0.2609
test386,config1_dense,0,,
test396,config1_dense,0,0,0.2308
test397,config1_dense,1,0,0.0
test401,config1_dense,0,1,1.0
test403,config1_dense,0,,
test409,config1_dense,1,0,0.0
test413,config1_dense,0,1,1.0
test418,config1_dense,0,1,1.0
test419,config1_dense,0,0,0.3077
test421,config1_dense,0,1,1.0
test424,config1_dense,1,0,0.0
test435,config1_dense,0,1,1.0
test438,config1_dense,0,1,1.0
test447,config1_dense,0,,
test449,config1_dense,1,,
test456,config1_dense,1,0,0.0
test458,config1_dense,0,0,0.4
test469,config1_dense,0,1,1.0
test472,config1_dense,0,1,1.0
test491,config1_dense,0,0,0.3636
test495,config1_dense,0,1,1.0
test511,config1_dense,1,0,0.0
test515,config1_dense,0,,
test522,config1_dense,1,0,0.0
test525,config1_dense,1,0,0.1176
test535,config1_dense,0,0,0.3333
test536,config1_dense,1,0,0.0
test541,config1_dense,0,1,1.0
test542,config1_dense,1,0,0.0
test550,config1_dense,0,0,0.2222
test566,config1_dense,1,0,0.0
test571,config1_dense,0,0,0.0625
test574,config1_dense,0,0,0.375
test585,config1_dense,0,1,1.0
test606,config1_dense,1,0,0.0
test610,config1_dense,0,0,0.5333
test626,config1_dense,1,0,0.0
test634,config1_dense,0,0,0.1111
test636,config1_dense,1,,
test644,config1_dense,0,1,1.0
test646,config1_dense,0,0,0.5
test647,config1_dense,0,1,1.0
test653,config1_dense,0,0,0.1429
test655,config1_dense,1,,
test661,config1_dense,1,0,0.0
test666,config1_dense,0,1,1.0
test669,config1_dense,1,0,0.0
test674,config1_dense,0,,
test676,config1_dense,0,0,0.4267
test681,config1_dense,1,0,0.0
test700,config1_dense,0,1,1.0
test731,config1_dense,1,0,0.0
test751,config1_dense,0,1,1.0
test761,config1_dense,1,,
test777,config1_dense,0,0,0.2609
test779,config1_dense,1,0,0.0
test784,config1_dense,0,0,0.0
test787,config1_dense,1,0,0.0
test814,config1_dense,0,1,1.0
test823,config1_dense,0,1,1.0
test833,config1_dense,1,0,0.0
test836,config1_dense,0,,
test858,config1_dense,0,0,0.16
test860,config1_dense,0,0,0.0
test862,config1_dense,0,1,1.0
test864,config1_dense,0,,
test867,config1_dense,1,0,0.0
