query_id,config,faithfulness
test14,config1_dense,1.0
test86,config1_dense,1.0
test122,config1_dense,1.0
test128,config1_dense,1.0
test171,config1_dense,0.3333333333333333
test239,config1_dense,1.0
test278,config1_dense,1.0
test283,config1_dense,1.0
test290,config1_dense,1.0
test300,config1_dense,1.0
test335,config1_dense,1.0
test382,config1_dense,0.8571428571428571
test413,config1_dense,1.0
test458,config1_dense,1.0
test472,config1_dense,1.0
test585,config1_dense,1.0
test653,config1_dense,1.0
test666,config1_dense,1.0
test674,config1_dense,1.0
test777,config1_dense,0.0
test881,config1_dense,1.0
test914,config1_dense,1.0
test952,config1_dense,1.0
test1081,config1_dense,1.0
test1084,config1_dense,1.0
test1105,config1_dense,1.0
test1126,config1_dense,1.0
test1167,config1_dense,1.0
test1393,config1_dense,1.0
test1531,config1_dense,0.6666666666666666
test1554,config1_dense,1.0
test1734,config1_dense,1.0
test1937,config1_dense,1.0
test2119,config1_dense,1.0
test2175,config1_dense,0.8
test2181,config1_dense,0.6666666666666666
test2233,config1_dense,1.0
test2259,config1_dense,0.5
test2263,config1_dense,1.0
test2276,config1_dense,1.0
test2281,config1_dense,0.6666666666666666
test2315,config1_dense,1.0
test2442,config1_dense,1.0
test2609,config1_dense,0.5
test2619,config1_dense,1.0
test2684,config1_dense,1.0
test2711,config1_dense,1.0
test2815,config1_dense,1.0
test2825,config1_dense,0.6666666666666666
test2920,config1_dense,0.0
test3315,config1_dense,0.5
test14,config2_dense_rerank,1.0
test86,config2_dense_rerank,0.5
test102,config2_dense_rerank,1.0
test122,config2_dense_rerank,1.0
test128,config2_dense_rerank,0.25
test171,config2_dense_rerank,1.0
test177,config2_dense_rerank,0.0
test239,config2_dense_rerank,1.0
test278,config2_dense_rerank,1.0
test283,config2_dense_rerank,1.0
test290,config2_dense_rerank,1.0
test300,config2_dense_rerank,1.0
test335,config2_dense_rerank,
test382,config2_dense_rerank,1.0
test413,config2_dense_rerank,1.0
test449,config2_dense_rerank,1.0
test458,config2_dense_rerank,1.0
test472,config2_dense_rerank,1.0
test585,config2_dense_rerank,1.0
test653,config2_dense_rerank,1.0
test666,config2_dense_rerank,1.0
test669,config2_dense_rerank,0.75
test674,config2_dense_rerank,1.0
test731,config2_dense_rerank,0.5
test777,config2_dense_rerank,1.0
test833,config2_dense_rerank,0.6666666666666666
test881,config2_dense_rerank,1.0
test914,config2_dense_rerank,0.25
test1081,config2_dense_rerank,1.0
test1084,config2_dense_rerank,1.0
test1105,config2_dense_rerank,1.0
test1126,config2_dense_rerank,1.0
test1138,config2_dense_rerank,0.6666666666666666
test1167,config2_dense_rerank,0.5
test1393,config2_dense_rerank,1.0
test1513,config2_dense_rerank,1.0
test1531,config2_dense_rerank,1.0
test1554,config2_dense_rerank,0.7142857142857143
test1734,config2_dense_rerank,1.0
test1912,config2_dense_rerank,1.0
test1989,config2_dense_rerank,1.0
test2105,config2_dense_rerank,1.0
test2119,config2_dense_rerank,0.5
test2175,config2_dense_rerank,0.3333333333333333
test2181,config2_dense_rerank,1.0
test2233,config2_dense_rerank,0.6
test2276,config2_dense_rerank,1.0
test2281,config2_dense_rerank,1.0
test2315,config2_dense_rerank,1.0
test2442,config2_dense_rerank,1.0
test2465,config2_dense_rerank,0.5
test2597,config2_dense_rerank,1.0
test2609,config2_dense_rerank,0.5
test2619,config2_dense_rerank,1.0
test2684,config2_dense_rerank,0.5
test2711,config2_dense_rerank,1.0
test2815,config2_dense_rerank,1.0
test2818,config2_dense_rerank,0.5
test2825,config2_dense_rerank,0.9333333333333333
test2920,config2_dense_rerank,0.0
test2962,config2_dense_rerank,1.0
test3075,config2_dense_rerank,0.7142857142857143
test3315,config2_dense_rerank,1.0
test14,config3_hybrid,1.0
test171,config3_hybrid,0.6666666666666666
test239,config3_hybrid,1.0
test278,config3_hybrid,1.0
test283,config3_hybrid,1.0
test290,config3_hybrid,0.0
test297,config3_hybrid,1.0
test335,config3_hybrid,1.0
test382,config3_hybrid,1.0
test413,config3_hybrid,1.0
test458,config3_hybrid,1.0
test472,config3_hybrid,1.0
test653,config3_hybrid,1.0
test674,config3_hybrid,0.7142857142857143
test731,config3_hybrid,0.5
test777,config3_hybrid,1.0
test881,config3_hybrid,1.0
test914,config3_hybrid,0.25
test1081,config3_hybrid,0.0
test1084,config3_hybrid,1.0
test1105,config3_hybrid,1.0
test1126,config3_hybrid,0.5
test1167,config3_hybrid,0.5
test1393,config3_hybrid,1.0
test1513,config3_hybrid,0.0
test1531,config3_hybrid,1.0
test1554,config3_hybrid,1.0
test1734,config3_hybrid,1.0
test1877,config3_hybrid,1.0
test1937,config3_hybrid,1.0
test1989,config3_hybrid,1.0
test2105,config3_hybrid,1.0
test2119,config3_hybrid,1.0
test2175,config3_hybrid,1.0
test2233,config3_hybrid,1.0
test2263,config3_hybrid,0.75
test2276,config3_hybrid,1.0
test2281,config3_hybrid,0.6666666666666666
test2315,config3_hybrid,1.0
test2442,config3_hybrid,0.2
test2465,config3_hybrid,1.0
test2533,config3_hybrid,0.75
test2609,config3_hybrid,0.6666666666666666
test2619,config3_hybrid,1.0
test2684,config3_hybrid,1.0
test2711,config3_hybrid,1.0
test2815,config3_hybrid,1.0
test2825,config3_hybrid,0.9375
test2920,config3_hybrid,1.0
test2962,config3_hybrid,0.5
test3315,config3_hybrid,0.625
test14,config4_hybrid_rerank,1.0
test86,config4_hybrid_rerank,1.0
test102,config4_hybrid_rerank,1.0
test122,config4_hybrid_rerank,1.0
test128,config4_hybrid_rerank,0.25
test171,config4_hybrid_rerank,1.0
test177,config4_hybrid_rerank,0.0
test239,config4_hybrid_rerank,1.0
test278,config4_hybrid_rerank,1.0
test283,config4_hybrid_rerank,1.0
test290,config4_hybrid_rerank,0.0
test300,config4_hybrid_rerank,1.0
test335,config4_hybrid_rerank,
test382,config4_hybrid_rerank,1.0
test413,config4_hybrid_rerank,1.0
test449,config4_hybrid_rerank,1.0
test472,config4_hybrid_rerank,1.0
test585,config4_hybrid_rerank,1.0
test653,config4_hybrid_rerank,1.0
test666,config4_hybrid_rerank,1.0
test669,config4_hybrid_rerank,1.0
test674,config4_hybrid_rerank,1.0
test777,config4_hybrid_rerank,1.0
test833,config4_hybrid_rerank,0.25
test881,config4_hybrid_rerank,1.0
test914,config4_hybrid_rerank,0.8
test1081,config4_hybrid_rerank,1.0
test1084,config4_hybrid_rerank,1.0
test1105,config4_hybrid_rerank,1.0
test1138,config4_hybrid_rerank,0.3333333333333333
test1167,config4_hybrid_rerank,1.0
test1393,config4_hybrid_rerank,1.0
test1513,config4_hybrid_rerank,1.0
