query_id,config,recall@5,mrr@5,ndcg@5
test2,config1_dense,1.0,1.0,1.0
test8,config1_dense,0.0,0.0,0.0
test13,config1_dense,1.0,0.333333,0.5
test14,config1_dense,1.0,1.0,1.0
test26,config1_dense,1.0,1.0,1.0
test29,config1_dense,0.0,0.0,0.0
test32,config1_dense,0.0,0.0,0.0
test38,config1_dense,0.0,0.0,0.0
test39,config1_dense,1.0,0.5,0.63093
test47,config1_dense,1.0,1.0,1.0
test60,config1_dense,1.0,0.2,0.386853
test79,config1_dense,1.0,1.0,1.0
test86,config1_dense,1.0,1.0,1.0
test102,config1_dense,0.0,0.0,0.0
test108,config1_dense,1.0,0.25,0.430677
test122,config1_dense,1.0,1.0,1.0
test128,config1_dense,1.0,0.2,0.386853
test130,config1_dense,0.5,0.5,0.386853
test131,config1_dense,1.0,0.5,0.63093
test147,config1_dense,1.0,0.25,0.430677
test162,config1_dense,1.0,1.0,1.0
test163,config1_dense,0.0,0.0,0.0
test171,config1_dense,1.0,0.5,0.63093
test177,config1_dense,1.0,1.0,1.0
test180,config1_dense,1.0,0.2,0.386853
test187,config1_dense,1.0,1.0,1.0
test192,config1_dense,0.5,1.0,0.613147
test205,config1_dense,0.5,0.5,0.386853
test207,config1_dense,1.0,0.333333,0.5
test208,config1_dense,1.0,1.0,1.0
test221,config1_dense,0.5,1.0,0.613147
test229,config1_dense,0.0,0.0,0.0
test232,config1_dense,0.5,1.0,0.613147
test234,config1_dense,1.0,0.5,0.63093
test237,config1_dense,1.0,0.2,0.386853
test239,config1_dense,1.0,0.5,0.693426
test240,config1_dense,0.5,0.25,0.264068
test241,config1_dense,1.0,0.5,0.650921
test248,config1_dense,1.0,1.0,1.0
test249,config1_dense,0.333333,0.25,0.202107
test260,config1_dense,0.0,0.0,0.0
test262,config1_dense,0.0,0.0,0.0
test271,config1_dense,0.0,0.0,0.0
test276,config1_dense,1.0,0.5,0.63093
test278,config1_dense,0.5,1.0,0.613147
test280,config1_dense,1.0,1.0,1.0
test281,config1_dense,0.5,0.5,0.386853
test283,config1_dense,0.5,1.0,0.613147
test284,config1_dense,1.0,0.25,0.430677
test290,config1_dense,1.0,1.0,1.0
test292,config1_dense,0.0,0.0,0.0
test297,config1_dense,1.0,1.0,1.0
test300,config1_dense,0.0,0.0,0.0
test308,config1_dense,1.0,1.0,1.0
test322,config1_dense,1.0,1.0,1.0
test326,config1_dense,1.0,1.0,1.0
test328,config1_dense,1.0,0.333333,0.5
test335,config1_dense,0.5,1.0,0.613147
test350,config1_dense,1.0,0.333333,0.5
test356,config1_dense,0.0,0.0,0.0
test372,config1_dense,1.0,1.0,1.0
test378,config1_dense,1.0,0.25,0.430677
test379,config1_dense,1.0,1.0,1.0
test382,config1_dense,0.666667,1.0,0.765361
test383,config1_dense,1.0,1.0,1.0
test386,config1_dense,0.0,0.0,0.0
test396,config1_dense,1.0,0.5,0.63093
test397,config1_dense,1.0,1.0,1.0
test401,config1_dense,0.75,1.0,0.80481
test403,config1_dense,1.0,0.5,0.63093
test409,config1_dense,0.0,0.0,0.0
test413,config1_dense,1.0,0.2,0.386853
test418,config1_dense,1.0,0.2,0.386853
test419,config1_dense,1.0,0.5,0.63093
test421,config1_dense,1.0,1.0,1.0
test424,config1_dense,0.0,0.0,0.0
test435,config1_dense,1.0,1.0,1.0
test438,config1_dense,0.5,1.0,0.613147
test447,config1_dense,0.333333,1.0,0.469279
test449,config1_dense,0.0,0.0,0.0
test456,config1_dense,1.0,1.0,1.0
test458,config1_dense,1.0,1.0,1.0
test469,config1_dense,1.0,1.0,0.877215
test472,config1_dense,1.0,1.0,1.0
test491,config1_dense,1.0,0.333333,0.5
test495,config1_dense,1.0,1.0,1.0
test511,config1_dense,1.0,1.0,1.0
test515,config1_dense,1.0,0.25,0.430677
test522,config1_dense,1.0,0.25,0.430677
test525,config1_dense,0.5,1.0,0.613147
test535,config1_dense,0.5,0.25,0.264068
test536,config1_dense,0.0,0.0,0.0
test541,config1_dense,1.0,1.0,1.0
test542,config1_dense,0.0,0.0,0.0
test550,config1_dense,0.0,0.0,0.0
test566,config1_dense,1.0,1.0,1.0
test571,config1_dense,0.5,1.0,0.613147
test574,config1_dense,1.0,0.5,0.693426
test585,config1_dense,1.0,1.0,1.0
test606,config1_dense,0.0,0.0,0.0
test610,config1_dense,1.0,0.333333,0.5
test626,config1_dense,0.0,0.0,0.0
test634,config1_dense,0.0,0.0,0.0
test636,config1_dense,0.0,0.0,0.0
test644,config1_dense,1.0,0.333333,0.5
test646,config1_dense,1.0,0.5,0.63093
test647,config1_dense,1.0,1.0,1.0
test653,config1_dense,1.0,1.0,1.0
test655,config1_dense,0.0,0.0,0.0
test661,config1_dense,1.0,0.2,0.386853
test666,config1_dense,0.5,0.25,0.264068
test669,config1_dense,0.0,0.0,0.0
test674,config1_dense,0.0,0.0,0.0
test676,config1_dense,1.0,1.0,0.852928
test681,config1_dense,1.0,0.333333,0.5
test700,config1_dense,1.0,1.0,1.0
test731,config1_dense,0.0,0.0,0.0
test751,config1_dense,1.0,1.0,1.0
test761,config1_dense,0.0,0.0,0.0
test777,config1_dense,0.0,0.0,0.0
test779,config1_dense,0.0,0.0,0.0
test784,config1_dense,1.0,1.0,1.0
test787,config1_dense,0.0,0.0,0.0
test814,config1_dense,1.0,0.333333,0.5
test823,config1_dense,1.0,1.0,1.0
test833,config1_dense,0.0,0.0,0.0
test836,config1_dense,1.0,0.333333,0.5
test858,config1_dense,1.0,1.0,1.0
test860,config1_dense,0.0,0.0,0.0
test862,config1_dense,1.0,1.0,1.0
test864,config1_dense,0.0,0.0,0.0
test867,config1_dense,1.0,0.5,0.63093
