metric,config_a,config_b,mean_a,mean_b,diff,higher,n,test,raw_p,adj_p,significant,effect_size
Recall@5,C1,C2,0.5518,0.6163,-0.0645,C2,500,Wilcoxon,0.0003113038153007844,0.0006,yes,0.3466
Recall@5,C3,C4,0.51,0.6137,-0.1037,C4,500,Wilcoxon,9.258734534964612e-09,0.0,yes,0.5363
Recall@5,C1,C3,0.5518,0.51,0.0418,C1,500,Wilcoxon,0.017348713237914086,0.0208,yes,0.2289
Recall@5,C2,C4,0.6163,0.6137,0.0027,C2,500,Wilcoxon,0.7612471607049118,0.7612,no,0.0623
Recall@5,C1,C4,0.5518,0.6137,-0.0618,C4,500,Wilcoxon,0.0008782500953560279,0.0013,yes,0.3071
Recall@5,C2,C3,0.6163,0.51,0.1063,C2,500,Wilcoxon,3.660373626719569e-09,0.0,yes,0.5556
MRR@5,C1,C2,0.4437,0.5187,-0.075,C2,500,Wilcoxon,7.111148304738962e-06,0.0,yes,0.3199
MRR@5,C3,C4,0.4063,0.5154,-0.109,C4,500,Wilcoxon,7.386119460638085e-10,0.0,yes,0.4282
MRR@5,C1,C3,0.4437,0.4063,0.0373,C1,500,Wilcoxon,0.017717558844804613,0.0213,yes,0.1686
MRR@5,C2,C4,0.5187,0.5154,0.0033,C2,500,Wilcoxon,0.21642672626569182,0.2164,no,0.2111
MRR@5,C1,C4,0.4437,0.5154,-0.0717,C4,500,Wilcoxon,2.3485065004284395e-05,0.0,yes,0.2984
MRR@5,C2,C3,0.5187,0.4063,0.1123,C2,500,Wilcoxon,1.4242146513014076e-10,0.0,yes,0.4424
NDCG@5,C1,C2,0.453,0.5281,-0.075,C2,500,Wilcoxon,1.889249623264073e-06,0.0,yes,0.3224
NDCG@5,C3,C4,0.4151,0.5259,-0.1108,C4,500,Wilcoxon,3.026789695336042e-12,0.0,yes,0.4697
NDCG@5,C1,C3,0.453,0.4151,0.0379,C1,500,Wilcoxon,0.003990753012616823,0.0048,yes,0.1976
NDCG@5,C2,C4,0.5281,0.5259,0.0022,C2,500,Wilcoxon,0.41377238292590224,0.4138,no,0.1307
NDCG@5,C1,C4,0.453,0.5259,-0.0729,C4,500,Wilcoxon,6.245632678388335e-06,0.0,yes,0.3029
NDCG@5,C2,C3,0.5281,0.4151,0.113,C2,500,Wilcoxon,5.661835031813126e-13,0.0,yes,0.482
F1_all,C1,C2,0.2736,0.2766,-0.003,C2,395,Wilcoxon,0.49888396582905803,0.6776,no,0.0485
F1_all,C3,C4,0.247,0.2785,-0.0314,C4,395,Wilcoxon,0.04079054160674343,0.1224,no,0.1446
F1_all,C1,C3,0.2736,0.247,0.0266,C1,395,Wilcoxon,0.1525381419637316,0.3051,no,0.1022
F1_all,C2,C4,0.2766,0.2785,-0.0018,C4,395,Wilcoxon,0.928657373577604,0.9287,no,0.0091
F1_all,C1,C4,0.2736,0.2785,-0.0048,C4,395,Wilcoxon,0.5646504879431591,0.6776,no,0.0407
F1_all,C2,C3,0.2766,0.247,0.0296,C2,395,Wilcoxon,0.015371646090300306,0.0922,no,0.1731
EM,C1,C2,0.1392,0.1241,0.0152,C1,395,McNemar,0.3767591178115821,0.5651,no,
EM,C3,C4,0.1063,0.1266,-0.0203,C4,395,McNemar,0.1698105050855175,0.5094,no,
EM,C1,C3,0.1392,0.1063,0.0329,C1,395,McNemar,0.04252247799805166,0.2551,no,
EM,C2,C4,0.1241,0.1266,-0.0025,C4,395,McNemar,1.0,1.0,no,
EM,C1,C4,0.1392,0.1266,0.0127,C1,395,McNemar,0.47249761400068846,0.567,no,
EM,C2,C3,0.1241,0.1063,0.0177,C2,395,McNemar,0.2652053925915044,0.5304,no,
Refusal,C1,C2,0.422,0.386,0.036,C1,500,McNemar,0.06677920499969528,0.1002,no,
Refusal,C3,C4,0.476,0.392,0.084,C3,500,McNemar,4.1315013825093515e-05,0.0001,yes,
Refusal,C1,C3,0.422,0.476,-0.054,C3,500,McNemar,0.007016199234239626,0.014,yes,
Refusal,C2,C4,0.386,0.392,-0.006,C4,500,McNemar,0.7704930827944241,0.7705,no,
Refusal,C1,C4,0.422,0.392,0.03,C1,500,McNemar,0.14657603430899668,0.1759,no,
Refusal,C2,C3,0.386,0.476,-0.09,C3,500,McNemar,1.1968347738990216e-05,0.0001,yes,
Faithfulness,C1,C2,0.8839,0.8605,0.0234,C1,46,Wilcoxon,0.4331409946050192,0.6641,no,0.1894
Faithfulness,C3,C4,0.8224,0.8592,-0.0368,C4,42,Wilcoxon,0.5409036977712626,0.6641,no,0.1437
Faithfulness,C1,C3,0.8807,0.8447,0.036,C1,42,Wilcoxon,0.5534220562206044,0.6641,no,0.1435
Faithfulness,C2,C4,0.8294,0.823,0.0064,C2,56,Wilcoxon,0.979359685226968,0.9794,no,0.0065
Faithfulness,C1,C4,0.8796,0.8528,0.0269,C1,43,Wilcoxon,0.5287383731031882,0.6641,no,0.1744
Faithfulness,C2,C3,0.8629,0.8162,0.0468,C2,45,Wilcoxon,0.5182984470133856,0.6641,no,0.1477
